system,li,ui,p95,count
bookstore_nodejs, 182.0, 184.0 , 182.5 , 1865
bookstore_nodejs, 69.0, 70.0 , 69 , 1865
bookstore_nodejs, 87.0, 88.0 , 87 , 1908
bookstore_nodejs, 2048.0, 2053.0 , 2048 , 1448
bookstore_nodejs, 31.0, 32.0 , 31.5 , 1452
bookstore_nodejs, 39.0, 40.0 , 39.5 , 1498
bookstore_nodejs, 218.0, 219.0 , 218 , 1807
bookstore_nodejs, 179.0, 183.0 , 181 , 1811
bookstore_nodejs, 198.0, 204.0 , 200 , 1860
bookstore_nodejs, 10462.0, 10480.0 , 10463 , 640
bookstore_nodejs, 30.0, 30.0 , 30 , 618
bookstore_nodejs, 35.0, 35.0 , 35 , 628
bookstore_nodejs, 3167.0, 3171.0 , 3169.5 , 1771
bookstore_nodejs, 203.0, 206.0 , 203.5 , 1759
bookstore_nodejs, 204.0, 209.0 , 205 , 1795
bookstore_nodejs, 275.0, 277.0 , 275 , 2252
bookstore_nodejs, 174.0, 183.0 , 175 , 2262
bookstore_nodejs, 175.0, 180.0 , 176 , 2328
bookstore_nodejs, 216.0, 218.0 , 217 , 2254
bookstore_nodejs, 210.0, 214.0 , 211 , 2266
bookstore_nodejs, 202.0, 205.0 , 202.5 , 2324
bookstore_nodejs, 178.0, 187.0 , 184.5 , 2308
bookstore_nodejs, 248.0, 248.0 , 248 , 2244
bookstore_nodejs, 178.0, 185.0 , 182.5 , 2252
bookstore_nodejs, 174.0, 175.0 , 175 , 1760
bookstore_nodejs, 1849.0, 2036.0 , 1956.5 , 1773
bookstore_nodejs, 1915.0, 2062.0 , 1923 , 1800
bookstore_nodejs, 1732.0, 1757.0 , 1740.5 , 1303
bookstore_nodejs, 1621.0, 1625.0 , 1622.5 , 1295
bookstore_nodejs, 1646.0, 1660.0 , 1647 , 1328
bookstore_nodejs, 35.0, 35.0 , 35 , 628
bookstore_nodejs, 10462.0, 10480.0 , 10463 , 640
bookstore_nodejs, 30.0, 30.0 , 30 , 618
bookstore_nodejs, 6138.0, 6159.0 , 6153.5 , 1214
bookstore_nodejs, 95.0, 97.0 , 96 , 1214
